,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
82,answerdotai/ModernBERT-base,_mean-10,0,1,22,74.87,75.26,89.85,84.17,81.33,44.16,87.6,71.19,76.05375000000001,80.61
83,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-10,0,1,22,75.26,77.46,90.42,85.0,82.21,44.75,88.2,68.23,76.44125,80.96857142857142
84,answerdotai/ModernBERT-base,_concat_cls_with_mean-10,0,1,22,75.54,78.89,90.87,83.99,81.6,43.98,86.0,68.12,76.12375,80.71571428571428
85,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-10,0,1,22,76.05,78.92,91.01,84.7,81.88,44.3,89.0,65.8,76.4575,81.05142857142857
86,answerdotai/ModernBERT-base,_concat_mean_3_tokens-10,0,1,22,76.05,81.62,91.0,84.66,80.01,43.98,89.4,66.49,76.65125,81.31857142857143
87,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-10,0,1,22,75.52,81.43,90.82,85.29,79.9,41.67,88.2,66.49,76.165,81.09285714285714
88,answerdotai/ModernBERT-base,_concat_mean_5_tokens-10,0,1,22,75.43,80.5,91.2,84.79,80.56,40.41,87.8,62.9,75.44874999999999,80.45428571428572
89,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-10,0,1,22,76.06,78.54,91.69,68.77,80.29,43.48,89.4,61.74,73.74625,78.07000000000001
90,answerdotai/ModernBERT-base,_cls-11,0,1,22,69.6,68.32,87.42,77.58,78.03,40.14,70.6,66.32,69.75125,73.98142857142855
91,answerdotai/ModernBERT-base,_mean-11,0,1,22,75.57,78.65,90.3,84.09,81.77,44.71,89.4,70.78,76.90875,81.50857142857141
92,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-11,0,1,22,75.82,78.99,90.62,84.79,81.55,44.8,90.6,72.87,77.50500000000001,82.17714285714285
93,answerdotai/ModernBERT-base,_concat_cls_with_mean-11,0,1,22,76.45,79.15,90.88,83.43,81.11,43.89,88.6,66.03,76.1925,80.80714285714285
94,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-11,0,1,22,75.78,80.29,91.01,84.57,82.21,43.98,90.0,67.01,76.85624999999999,81.55285714285715
95,answerdotai/ModernBERT-base,_concat_mean_3_tokens-11,0,1,22,76.29,81.19,91.32,84.84,80.34,43.8,89.8,66.49,76.75875,81.46714285714286
96,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-11,0,1,22,76.08,81.24,90.84,84.58,80.56,43.85,91.8,66.49,76.93,81.6557142857143
97,answerdotai/ModernBERT-base,_concat_mean_5_tokens-11,0,1,22,75.4,81.22,91.36,84.67,80.29,43.76,88.8,62.43,75.99125,80.5957142857143
98,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-11,0,1,22,75.58,79.05,91.31,68.77,79.74,43.89,89.6,67.36,74.4125,78.77285714285713
99,answerdotai/ModernBERT-base,_cls-12,0,1,22,70.83,70.17,87.83,76.39,78.8,38.96,74.8,66.49,70.53375,75.0442857142857
100,answerdotai/ModernBERT-base,_mean-12,0,1,22,72.91,65.03,87.52,79.47,80.62,40.95,82.2,66.49,71.89874999999999,76.31999999999998
101,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-12,0,1,22,76.18,78.86,90.69,84.39,81.16,45.43,90.2,63.65,76.32,80.73285714285714
102,answerdotai/ModernBERT-base,_concat_cls_with_mean-12,0,1,22,74.44,73.75,90.45,79.92,82.04,42.31,79.6,66.03,73.5675,78.03285714285714
103,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-12,0,1,22,75.89,79.42,91.43,84.69,83.31,44.3,90.2,70.03,77.40875,82.13857142857144
104,answerdotai/ModernBERT-base,_concat_mean_3_tokens-12,0,1,22,75.89,81.99,91.21,84.73,80.56,41.63,90.4,66.49,76.6125,81.61
105,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-12,0,1,22,75.72,81.75,91.68,84.39,80.34,42.58,92.0,64.29,76.59375,81.45285714285714
106,answerdotai/ModernBERT-base,_concat_mean_5_tokens-12,0,1,22,75.87,80.66,91.69,83.97,81.22,42.44,89.2,55.94,75.12375,79.79285714285713
107,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-12,0,1,22,76.17,79.1,91.68,68.77,80.72,42.85,91.0,66.55,74.60499999999999,79.14142857142856
108,answerdotai/ModernBERT-base,_cls-13,0,1,22,70.09,69.3,88.45,76.05,78.25,39.91,74.6,66.49,70.3925,74.74714285714286
109,answerdotai/ModernBERT-base,_mean-13,0,1,22,74.18,68.45,89.39,79.13,80.4,40.14,82.0,66.49,72.5225,77.14857142857143
110,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-13,0,1,22,76.45,79.34,91.16,84.47,81.49,44.93,90.4,69.28,77.19,81.79857142857144
111,answerdotai/ModernBERT-base,_concat_cls_with_mean-13,0,1,22,74.26,75.34,90.74,79.46,82.48,42.99,84.4,65.51,74.39750000000001,78.88428571428572
112,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-13,0,1,22,76.62,80.19,91.78,84.55,83.2,45.02,91.0,65.8,77.26999999999998,81.87714285714286
113,answerdotai/ModernBERT-base,_concat_mean_3_tokens-13,0,1,22,75.73,82.15,91.4,84.03,80.72,44.03,91.4,66.49,76.99374999999999,81.70285714285714
114,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-13,0,1,22,76.08,80.95,91.52,84.25,81.22,42.62,91.2,65.1,76.6175,81.4742857142857
115,answerdotai/ModernBERT-base,_concat_mean_5_tokens-13,0,1,22,76.0,80.93,91.79,83.61,80.4,41.81,89.8,67.19,76.44125,81.38857142857144
116,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-13,0,1,22,76.2,79.31,92.0,68.77,81.33,44.62,89.6,65.33,74.645,78.9342857142857
117,answerdotai/ModernBERT-base,_cls-14,0,1,22,72.3,70.41,87.99,77.11,78.03,38.42,79.4,66.49,71.26875000000001,75.96142857142857
118,answerdotai/ModernBERT-base,_mean-14,0,1,22,74.01,67.31,89.67,77.63,82.15,43.76,79.8,66.49,72.60249999999999,76.72285714285714
119,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-14,0,1,22,76.85,79.36,91.06,84.62,82.76,45.84,91.8,73.1,78.17375,82.79285714285713
120,answerdotai/ModernBERT-base,_concat_cls_with_mean-14,0,1,22,75.55,78.25,91.32,79.47,82.76,43.39,87.8,65.22,75.47,80.05285714285715
121,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-14,0,1,22,77.46,82.54,92.35,84.63,83.64,46.06,91.8,66.38,78.1075,82.68571428571428
122,answerdotai/ModernBERT-base,_concat_mean_3_tokens-14,0,1,22,77.56,82.54,91.8,84.49,81.66,44.12,90.6,66.49,77.40750000000001,82.16285714285716
