Unnamed: 0,Modelo,nhid,Pooling,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
156.0,bert-large-uncased,0,_concat_cls_with_mean-18,1,24,84.86,88.11,95.44,87.94,90.61,94.2,75.13,88.04142857142857
157.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-18,1,24,84.89,87.97,95.48,88.38,90.28,93.6,75.36,87.99428571428572
158.0,bert-large-uncased,0,_concat_mean_3_tokens-18,1,24,84.18,88.32,95.82,88.25,87.81,94.0,67.25,86.51857142857143
159.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-18,1,24,83.87,87.92,95.72,88.47,87.37,93.8,67.01,86.30857142857143
160.0,bert-large-uncased,0,_concat_mean_5_tokens-18,1,24,83.81,87.66,95.68,87.45,87.15,94.8,68.17,86.38857142857141
161.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-18,1,24,83.73,88.0,95.45,68.77,50.08,94.4,64.81,77.89142857142858
162.0,bert-large-uncased,0,_cls-19,1,24,84.37,87.15,94.57,85.54,88.19,88.6,70.32,85.53428571428572
163.0,bert-large-uncased,0,_mean-19,1,24,83.43,87.5,95.32,87.36,89.79,91.0,75.19,87.08428571428574
164.0,bert-large-uncased,0,_mean_exclude_cls_sep-19,1,24,83.46,88.42,94.89,87.85,89.46,89.6,75.54,87.03142857142856
165.0,bert-large-uncased,0,_concat_cls_with_mean-19,1,24,85.29,87.23,95.25,87.36,90.94,91.6,75.36,87.57571428571428
166.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-19,1,24,85.42,86.2,95.35,88.3,90.94,93.4,75.25,87.83714285714287
167.0,bert-large-uncased,0,_concat_mean_3_tokens-19,1,24,84.16,88.69,95.57,87.91,88.25,94.2,69.74,86.93142857142857
168.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-19,1,24,83.99,89.19,95.57,88.07,87.48,94.6,68.93,86.83285714285714
169.0,bert-large-uncased,0,_concat_mean_5_tokens-19,1,24,84.13,88.48,95.69,87.57,88.08,93.8,69.68,86.7757142857143
170.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-19,1,24,83.82,88.77,95.31,68.77,50.08,94.6,65.86,78.17285714285713
171.0,bert-large-uncased,0,_cls-20,1,24,85.16,88.13,95.25,86.6,90.17,91.0,73.91,87.1742857142857
172.0,bert-large-uncased,0,_mean-20,1,24,84.15,88.79,95.43,86.9,90.28,90.8,74.61,87.27999999999999
173.0,bert-large-uncased,0,_mean_exclude_cls_sep-20,1,24,83.96,88.19,95.17,88.12,89.51,92.0,74.55,87.35714285714286
174.0,bert-large-uncased,0,_concat_cls_with_mean-20,1,24,85.64,88.61,96.02,87.09,91.38,93.0,75.13,88.12428571428572
175.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-20,1,24,85.99,88.79,95.99,88.28,91.16,93.8,75.01,88.43142857142855
